Candidate Name,District,Office,Level,Won?,Primary Date,Link to campaign website,Facebook,Instagram,X,TikTok,Headshot
Brad Lander,NY-10,U.S. House of Representatives,federal,TRUE,06/23/2026,https://bradlanderforcongress.com,https://facebook.com/bradlander,https://instagram.com/brad.lander,https://x.com/bradlander,https://tiktok.com/@bradlandernyc,https://run.imgix.net/68d35dd5-f7a6-4a7e-9057-c3908286d00f/e4f5b452-3eca-4f0c-82ea-227d95204138/e4f5b452-3eca-4f0c-82ea-227d95204138.jpg?ixlib=js-3.8.0&bri=0&con=0&sat=0&high=0&shad=0&usm=0&rect=0%2C393%2C2102%2C2282&auto=compress%2Cformat&fit=fillmax&w=2048&q=75
Julie Gonzales,Colorado,U.S. Senate,federal,FALSE,06/30/2026,https://www.julieforcolorado.com,https://www.facebook.com/senadorajulie/,https://www.instagram.com/senadorajulie,https://x.com/SenadoraJulie,,https://images.squarespace-cdn.com/content/v1/690fb26697ae9453d45ba993/507f5ac9-e5ee-4b93-a40d-4b26623c7aaf/Senadora+Julie+Gonzales.png
Melat Kiros,CO-01,U.S. House of Representatives,federal,TRUE,06/30/2026,https://kirosforco.com,https://facebook.com/melat.kiros.5,https://instagram.com/MelatKirosCO,https://x.com/MelatKirosCO,https://tiktok.com/@MelatKirosCO,https://i.ibb.co/LDJ4mJsR/2-BAF8-AA7-D822-4919-A670-E20-E7-F058674.jpg
Justin J. Pearson,TN-09,U.S. House of Representatives,federal,TRUE,08/06/2026,https://votejustinj.com,https://facebook.com/VoteJustinJ,https://instagram.com/justinjpearson,https://x.com/Justinjpearson,,https://justicedemocrats.com/wp-content/uploads/2025/10/JD26_JustinJPearson_TN09_1476x1204.jpg
Donavan McKinney,MI-13,U.S. House of Representatives,federal,TRUE,08/04/2026,https://www.donavanforcongress.com,https://facebook.com/donavanmi13,https://instagram.com/donavanmckinney,https://x.com/DonavanMI13,,https://justicedemocrats.com/wp-content/uploads/2025/04/JD26_DonavanMcKinney_MI13_1476x1204.jpg
Cori Bush,MO-01,U.S. House of Representatives,federal,,08/04/2026,https://www.coribush.org,https://www.facebook.com/VoteCoriBush/,https://www.instagram.com/coribush,https://x.com/CoriBush,https://www.tiktok.com/@coribush,https://justicedemocrats.com/wp-content/uploads/2025/10/JD26_CoriBush_MO01_1476x1204B.jpg
Abdul El-Sayed,Michigan,U.S. Senate,federal,TRUE,08/04/2026,https://abdulforsenate.com,https://facebook.com/DrAbdulElSayed,https://instagram.com/abdulelsayed,https://x.com/AbdulElSayed,https://tiktok.com/@abdulelsayed,https://abdulforsenate.com/wp-content/uploads/2025/04/Group-1311-2.png
Oliver Larkin,FL-23,U.S. House of Representatives,federal,,08/18/2026,https://www.oliverforcongress.com,https://facebook.com/oliverforcongress,https://instagram.com/oliveradamslarkin,https://x.com/oliveralarkin,https://tiktok.com/@oliveralarkin,"https://www.sun-sentinel.com/wp-content/uploads/2026/07/TFL-L-Oliver-Larkin-01.jpg?w=1800&resize=1800,1800"
Claire Valdez,NY-07,U.S. House of Representatives,federal,TRUE,06/23/2026,https://clairevaldezforcongress.com,https://facebook.com/claireforqueens,https://instagram.com/claireforny,https://x.com/claireforny,https://tiktok.com/@claireforny,https://justicedemocrats.com/wp-content/uploads/2026/01/JD26_ClaireValdez_NY07_1476x1204_011326.jpg
Saikat Chakrabarti,CA-11,U.S. House of Representatives,federal,FALSE,06/02/2026,https://saikat.us,https://facebook.com/saikatforcongress,https://instagram.com/saikatforcongress,https://x.com/saikatc,https://tiktok.com/@saikatforcongress,https://justicedemocrats.com/wp-content/uploads/2026/03/JD26_SaikatChakrabarti_CA11_1476x1204_1A.jpg
Adam Hamawy,NJ-12,U.S. House of Representatives,federal,TRUE,06/02/2026,https://hamawyfornj.com,https://www.facebook.com/61586742410220/,https://www.instagram.com/hamawyfornj/,https://x.com/HamawyForNJ,,https://justicedemocrats.com/wp-content/uploads/2026/03/JD26_DrAdamHamawy_NJ12_1476x1204_1.jpg
William Lawrence,MI-07,U.S. House of Representatives,federal,TRUE,08/04/2026,https://wewill2026.com,https://www.facebook.com/wewill2026/,https://www.instagram.com/wewill2026mi,https://x.com/wewill2026,https://www.tiktok.com/@wewill2026,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIPLTih700ju-R9UzotdBKJspb3puREksmLJ_YEpB3D4iRSlBer5qczTg&s=10
Troy Jackson,Maine,U.S. Senate,federal,TRUE,07/25/2026,https://www.jacksonformaine.com,https://www.facebook.com/TroyJacksonmaine/,https://www.instagram.com/troyjackson207,https://x.com/troyjackson207,,https://run.imgix.net/61cfa6b5-77cc-468d-b36c-b302654b60f4/63f65e12-6efb-49c5-bb7e-a33e70d58deb/63f65e12-6efb-49c5-bb7e-a33e70d58deb.png
Darializa Avila Chevalier,NY-13,U.S. House of Representatives,federal,TRUE,06/23/2026,https://www.darializaforcongress.com,https://www.facebook.com/profile.php?id=61583351025252,https://www.instagram.com/darializaforny,https://x.com/darializaforny,,https://justicedemocrats.com/wp-content/uploads/2025/11/JD26_DarializaAvilaChevalier_NY13_1476x1204_1.jpg
Aparna Raj,DC Ward 1,DC Council,local,TRUE,06/16/2026,https://www.aparnafordc.com,https://facebook.com/aparnafordc,https://instagram.com/aparnafordc,https://x.com/aparnafordc,https://tiktok.com/@aparnafordc,https://www.washingtonblade.com/content/files/2026/07/Aparna_Raj_insert_courtesy_Raj.jpg
Janeese Lewis George,DC,Mayor,local,TRUE,06/16/2026,https://janeesefordc.com,https://www.facebook.com/Janeese4DC/,https://www.instagram.com/janeese4dc,https://x.com/janeese4dc,https://www.tiktok.com/@janeese4dc,https://janeesefordc.com/wp-content/uploads/2025/11/2025-JLG-purple-coat-1900.png
Anabel Mendoza,IL-07,U.S. House of Representatives,federal,FALSE,03/17/2026,https://anabelforcongress.com,https://facebook.com/anabelforcongress,https://instagram.com/anabelforcongress,,https://tiktok.com/@anabelforcongress,https://davisvanguard.org/wp-content/uploads/2026/03/Anabel-Mendoza-765x510.webp
Kat Abughazaleh,IL-09,U.S. House of Representatives,federal,FALSE,03/17/2026,https://katforillinois.com/,,https://www.instagram.com/kabughazaleh,,https://www.tiktok.com/@katmabu,https://katforillinois.com/wp-content/uploads/sites/55/2026/02/e215fa09-3995-48c2-8fe4-9b11fc7dfdfe.jpg
Elijah Manley,FL-20,U.S. House of Representatives,federal,,08/18/2026,https://www.elijahmanley.com,https://facebook.com/realelijahmanley,https://instagram.com/realelijahmanley,https://x.com/iElijahManley,,https://i.ibb.co/hJMckdb1/emheadshot.avif
Peggy Flanagan,Minnesota,U.S. Senate,federal,TRUE,08/11/2026,https://peggyflanagan.com,https://facebook.com/peggyflanaganMN,https://instagram.com/peggyflanagan,https://x.com/peggyflanagan,https://tiktok.com/@peggyflanagan,https://peggyflanagan.com/wp-content/uploads/2025/02/014-Peggy-Flanagan-1024x683.webp
